timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:37:39.872921,-0.0018,0.0603,0.133599,4.800
2026-05-13T12:37:39.894973,-0.0018,0.0603,0.239668,4.900
2026-05-13T12:37:39.913898,-0.0018,0.0603,0.183956,4.900
2026-05-13T12:37:39.934903,-0.0018,0.0603,0.303501,4.900
2026-05-13T12:37:39.956019,-0.0018,0.0603,0.243202,4.900
2026-05-13T12:37:39.975807,-0.0026,0.0481,0.168857,4.900
2026-05-13T12:37:39.996865,-0.0026,0.0481,0.338016,4.900
2026-05-13T12:37:40.016781,-0.0026,0.0481,0.422270,4.900
2026-05-13T12:37:40.036742,-0.0026,0.0481,0.175914,4.900
2026-05-13T12:37:40.057720,-0.0026,0.0481,0.219625,4.900
2026-05-13T12:37:40.077725,-0.0026,0.0481,0.168036,4.900
2026-05-13T12:37:40.099932,-0.0026,0.0481,0.253340,4.900
2026-05-13T12:37:40.118662,-0.0029,0.0378,0.274991,4.900
2026-05-13T12:37:40.140717,-0.0029,0.0378,0.289965,5.000
2026-05-13T12:37:40.159633,-0.0029,0.0378,0.299161,5.000
2026-05-13T12:37:40.180593,-0.0029,0.0378,0.307108,5.000
2026-05-13T12:37:40.201646,-0.0029,0.0378,0.434437,5.000
2026-05-13T12:37:40.221556,-0.0035,0.0299,0.700502,5.000
2026-05-13T12:37:40.242597,-0.0035,0.0299,0.635120,4.800
2026-05-13T12:37:40.262522,-0.0035,0.0299,0.233665,4.800
2026-05-13T12:37:40.282486,-0.0035,0.0299,0.127274,4.800
2026-05-13T12:37:40.303482,-0.0035,0.0299,0.144711,4.900
2026-05-13T12:37:40.323458,-0.0035,0.0299,0.235869,4.900
2026-05-13T12:37:40.345525,-0.0038,0.0213,0.315892,5.000
2026-05-13T12:37:40.364418,-0.0038,0.0213,0.318639,5.000
2026-05-13T12:37:40.386499,-0.0038,0.0213,0.181274,4.800
2026-05-13T12:37:40.405366,-0.0038,0.0213,0.154201,4.800
2026-05-13T12:37:40.426345,-0.0038,0.0213,0.113089,4.800
2026-05-13T12:37:40.447393,-0.0038,0.0213,0.043388,4.900
2026-05-13T12:37:40.467298,-0.0038,0.0213,0.285353,4.900
2026-05-13T12:37:40.488369,-0.0043,0.0113,0.258375,5.000
2026-05-13T12:37:40.508272,-0.0043,0.0113,0.224698,5.000
2026-05-13T12:37:40.528247,-0.0043,0.0113,0.266666,5.000
2026-05-13T12:37:40.550296,-0.0043,0.0113,0.160806,4.700
2026-05-13T12:37:40.569201,-0.0043,0.0113,0.082566,4.700
2026-05-13T12:37:40.591253,-0.0043,0.0113,0.264702,5.000
2026-05-13T12:37:40.610157,-0.0043,0.0113,0.273596,5.000
2026-05-13T12:37:40.632214,-0.0043,0.0009,0.116344,5.000
2026-05-13T12:37:40.651118,-0.0043,0.0009,0.238264,5.000
2026-05-13T12:37:40.672109,-0.0043,0.0009,0.302057,5.000
2026-05-13T12:37:40.693141,-0.0043,0.0009,0.210300,4.900
2026-05-13T12:37:40.713063,-0.0043,0.0009,0.246246,4.900
2026-05-13T12:37:40.734111,-0.0043,0.0009,0.093714,4.800
2026-05-13T12:37:40.754030,-0.0043,0.0009,0.135530,4.800
2026-05-13T12:37:40.773992,-0.0044,-0.0073,0.248000,4.800
2026-05-13T12:37:40.796039,-0.0044,-0.0073,0.348332,4.900
2026-05-13T12:37:40.814955,-0.0044,-0.0073,0.378423,4.900
2026-05-13T12:37:40.837015,-0.0044,-0.0073,0.429846,4.900
2026-05-13T12:37:40.855936,-0.0044,-0.0073,0.301140,4.900
2026-05-13T12:37:40.876933,-0.0044,-0.0073,0.264491,4.900
2026-05-13T12:37:40.896947,-0.0047,-0.0157,0.263985,4.900
2026-05-13T12:37:40.917853,-0.0047,-0.0157,0.200994,4.900
2026-05-13T12:37:40.938914,-0.0047,-0.0157,0.391867,4.800
2026-05-13T12:37:40.958811,-0.0047,-0.0157,0.482261,4.800
2026-05-13T12:37:40.979864,-0.0047,-0.0157,0.497429,5.100
2026-05-13T12:37:40.999762,-0.0047,-0.0157,0.559596,5.100
2026-05-13T12:37:41.019747,-0.0049,-0.0241,0.559409,5.100
2026-05-13T12:37:41.041784,-0.0049,-0.0241,0.480883,4.800
2026-05-13T12:37:41.060703,-0.0049,-0.0241,0.332224,4.800
2026-05-13T12:37:41.082783,-0.0049,-0.0241,0.341147,4.900
